path,puzzle,puzzle_statistics,puzzle_statistics.black_cells,run,seed,size,solver,statistics.conflicts,statistics.decisions,statistics.encoding_size.assertions,statistics.encoding_size.bool_vars,statistics.encoding_size.bv_vars,statistics.encoding_size.int_vars,statistics.max_memory,statistics.memory,statistics.propagations,statistics.rlimit_count,statistics.runtime
puzzles/16x16\015af3ec-4867-427e-b1b6-5ffaf3246dbd.singles,015af3ec-4867-427e-b1b6-5ffaf3246dbd,,78,0,1033527350,16,boolean,0,0,132718,66306,0,0,507.22,346.34,0,12991015,15.674242699984461
puzzles/16x16\01bdf40d-c5f1-489b-b7d7-4a32c4bf6a32.singles,01bdf40d-c5f1-489b-b7d7-4a32c4bf6a32,,75,0,328653963,16,boolean,0,0,132712,66306,0,0,507.22,350.92,0,26685013,15.775528499973007
puzzles/16x16\0422cae4-f357-4688-a76c-fec71188da75.singles,0422cae4-f357-4688-a76c-fec71188da75,,74,0,1171634428,16,boolean,0,0,132707,66306,0,0,507.22,350.92,0,39392159,15.973664499935694
puzzles/16x16\045b62cc-edb4-4999-b28c-57255dce9604.singles,045b62cc-edb4-4999-b28c-57255dce9604,,74,0,1020699601,16,boolean,0,0,132706,66306,0,0,507.22,350.92,0,53639979,17.293806900037453
puzzles/16x16\05cddd05-e1f7-4b25-824d-b4414e1649ce.singles,05cddd05-e1f7-4b25-824d-b4414e1649ce,,76,0,2291084133,16,boolean,0,0,132715,66306,0,0,507.22,350.92,0,66894213,16.5054801000515
puzzles/16x16\07c0bff9-1169-4639-86ca-b9f44742a59a.singles,07c0bff9-1169-4639-86ca-b9f44742a59a,,75,0,1878351192,16,boolean,0,0,132711,66306,0,0,507.22,350.92,0,81160276,16.702303000027314
puzzles/16x16\0a5b93f3-a568-4c19-be2d-3354b828c757.singles,0a5b93f3-a568-4c19-be2d-3354b828c757,,73,0,2876624099,16,boolean,0,0,132708,66306,0,0,507.22,350.92,0,95222803,16.394152499968186
puzzles/16x16\0bb60bef-a236-41f7-930a-0f33697b6b0d.singles,0bb60bef-a236-41f7-930a-0f33697b6b0d,,77,0,3586118307,16,boolean,0,0,132710,66306,0,0,507.22,350.92,0,108677838,17.46689070004504
puzzles/16x16\0cfda381-37ad-439c-ab10-e6606ddc2d0e.singles,0cfda381-37ad-439c-ab10-e6606ddc2d0e,,75,0,2751629595,16,boolean,0,0,132728,66306,0,0,507.22,350.92,0,123408429,16.84244709997438
puzzles/16x16\0ddea479-6b4c-4f3f-bd27-2ee9240f1325.singles,0ddea479-6b4c-4f3f-bd27-2ee9240f1325,,78,0,1854986580,16,boolean,0,0,132732,66306,0,0,507.22,350.92,0,137129427,17.056999300024472
puzzles/16x16\11caca29-3e74-48c0-9349-0d8fdfbe9956.singles,11caca29-3e74-48c0-9349-0d8fdfbe9956,,75,0,3158874326,16,boolean,0,0,132716,66306,0,0,507.22,350.92,0,149857279,17.325445600086823
puzzles/16x16\11e1b5d3-fe51-4a2c-a929-a10ad4efd235.singles,11e1b5d3-fe51-4a2c-a929-a10ad4efd235,,76,0,3143102289,16,boolean,0,0,132719,66306,0,0,507.22,350.92,0,163169412,17.084165700012818
puzzles/16x16\123bc6d7-4a4c-4911-bca0-da3481aa4fa6.singles,123bc6d7-4a4c-4911-bca0-da3481aa4fa6,,74,0,1915461213,16,boolean,0,0,132708,66306,0,0,507.22,350.92,0,176827878,16.84597299993038
puzzles/16x16\127f4a2c-d262-4556-b71c-ac6c41b8fa50.singles,127f4a2c-d262-4556-b71c-ac6c41b8fa50,,74,0,2808534632,16,boolean,0,0,132722,66306,0,0,507.22,350.92,0,190297481,16.710078799980693
puzzles/16x16\1656b54c-2a22-400b-ac43-19009ba2df3c.singles,1656b54c-2a22-400b-ac43-19009ba2df3c,,74,0,3231081416,16,boolean,0,0,132718,66306,0,0,507.22,350.92,0,204084071,20.447417399962433
puzzles/16x16\17468d67-ff7a-45c2-8967-4c9a35a8df45.singles,17468d67-ff7a-45c2-8967-4c9a35a8df45,,76,0,3498399201,16,boolean,0,0,132706,66306,0,0,507.22,350.92,0,217425011,19.167768999934196
puzzles/16x16\184d291d-1793-486a-b869-8afcd8a35a07.singles,184d291d-1793-486a-b869-8afcd8a35a07,,73,0,1512668751,16,boolean,0,0,132715,66306,0,0,507.22,350.92,0,230800324,19.175382300047204
puzzles/16x16\1e0be0e3-40cf-458f-9918-fa61881a3edc.singles,1e0be0e3-40cf-458f-9918-fa61881a3edc,,77,0,1944487852,16,boolean,0,0,132721,66306,0,0,507.22,350.92,0,244053243,20.051582199987024
puzzles/16x16\1f91936b-7a21-41c6-8d4c-77ff55771415.singles,1f91936b-7a21-41c6-8d4c-77ff55771415,,78,0,740433835,16,boolean,0,0,132709,66306,0,0,507.22,350.92,0,256951679,18.893176799989305
puzzles/16x16\217dc610-f4a2-473b-9d99-82e51eebdce0.singles,217dc610-f4a2-473b-9d99-82e51eebdce0,,76,0,105420455,16,boolean,0,0,132714,66306,0,0,507.22,350.92,0,270140513,19.02888440003153
puzzles/16x16\2377ab54-898d-4347-96bb-82ac2e839743.singles,2377ab54-898d-4347-96bb-82ac2e839743,,73,0,1441015860,16,boolean,0,0,132711,66306,0,0,507.22,350.92,0,284014157,19.281182300066575
puzzles/16x16\296876ad-bdef-4114-86b2-4b03c098c8f4.singles,296876ad-bdef-4114-86b2-4b03c098c8f4,,76,0,852346384,16,boolean,0,0,132719,66306,0,0,507.22,350.92,0,297911630,19.168226800044067
puzzles/16x16\29d3d640-a0c9-49f3-92b9-0bfc7424e8db.singles,29d3d640-a0c9-49f3-92b9-0bfc7424e8db,,75,0,3978401814,16,boolean,0,0,132705,66306,0,0,507.22,350.92,0,314161359,19.247094099991955
puzzles/16x16\2c643c27-62b7-4ab0-a088-3f26c6b5ccca.singles,2c643c27-62b7-4ab0-a088-3f26c6b5ccca,,74,0,5767508,16,boolean,0,0,132718,66306,0,0,507.22,350.92,0,327336670,18.818574900040403
puzzles/16x16\2f8e769b-341f-4dd2-bdc1-72380021d1a2.singles,2f8e769b-341f-4dd2-bdc1-72380021d1a2,,74,0,311830080,16,boolean,0,0,132714,66306,0,0,507.22,350.92,0,341111836,19.219362000003457
puzzles/16x16\32ee838d-4c53-4936-ad01-ef23230bf3d2.singles,32ee838d-4c53-4936-ad01-ef23230bf3d2,,76,0,1702058669,16,boolean,0,0,132710,66306,0,0,507.22,350.92,0,355494240,18.78325700003188
puzzles/16x16\3349e0ec-f3da-4d23-b911-7e5bfec67617.singles,3349e0ec-f3da-4d23-b911-7e5bfec67617,,76,0,848573806,16,boolean,0,0,132709,66306,0,0,507.22,350.92,0,369332592,18.950549199944362
puzzles/16x16\3670a5e6-a931-4a00-aa34-74ad10fd8639.singles,3670a5e6-a931-4a00-aa34-74ad10fd8639,,74,0,1004685368,16,boolean,0,0,132703,66306,0,0,507.22,350.92,0,382818478,19.374874399974942
puzzles/16x16\39902bd8-5c61-440b-8671-40eceed6c96d.singles,39902bd8-5c61-440b-8671-40eceed6c96d,,76,0,680358602,16,boolean,0,0,132713,66306,0,0,507.22,350.92,0,396255227,19.3503571000183
puzzles/16x16\3cc423c9-7ed1-4809-b1fa-22d1d287920f.singles,3cc423c9-7ed1-4809-b1fa-22d1d287920f,,76,0,2950811638,16,boolean,0,0,132719,66306,0,0,507.22,350.92,0,409917364,19.289806799963117
puzzles/16x16\3d82afd2-a22c-4eb2-a082-54c90957b172.singles,3d82afd2-a22c-4eb2-a082-54c90957b172,,76,0,961183738,16,boolean,0,0,132714,66306,0,0,507.22,350.92,0,424412834,19.313079000101425
