path,puzzle,puzzle_statistics.black_cells,run,seed,size,solver,statistics.conflicts,statistics.decisions,statistics.encoding_size.assertions,statistics.encoding_size.bool_vars,statistics.encoding_size.bv_vars,statistics.encoding_size.int_vars,statistics.max_memory,statistics.memory,statistics.propagations,statistics.rlimit_count,statistics.runtime
puzzles/5x5\01e8e35c-77b6-4ec3-82ee-6809df755a96.singles,01e8e35c-77b6-4ec3-82ee-6809df755a96,7,0,2839084823,5,qf_bool,0,0,1404,702,0,0,19.19,18.09,0,129031.0,0.169854300096631
puzzles/5x5\03297488-255e-479b-80d4-e70d6029df7f.singles,03297488-255e-479b-80d4-e70d6029df7f,7,0,1618939578,5,qf_bool,0,0,1406,702,0,0,19.39,18.12,0,261142.0,0.1548016999149695
puzzles/5x5\059cba32-6e16-430e-a880-c8d2b1e24abb.singles,059cba32-6e16-430e-a880-c8d2b1e24abb,7,0,179505584,5,qf_bool,0,0,1403,702,0,0,19.39,18.12,0,388499.0,0.1545480000786483
puzzles/5x5\0a60153b-9bbc-425c-8aa8-e809b9f017ad.singles,0a60153b-9bbc-425c-8aa8-e809b9f017ad,6,0,1682224525,5,qf_bool,0,0,1406,702,0,0,19.39,18.12,0,522392.0,0.1550644999369979
puzzles/5x5\0c37a281-7681-4d5e-aa46-fbafac13c4b4.singles,0c37a281-7681-4d5e-aa46-fbafac13c4b4,7,0,3570947315,5,qf_bool,0,0,1404,702,0,0,19.39,18.12,0,652071.0,0.1542149999877438
puzzles/5x5\1355d440-2435-47bc-94cc-8a6013ec7dc8.singles,1355d440-2435-47bc-94cc-8a6013ec7dc8,7,0,4075096431,5,qf_bool,0,0,1404,702,0,0,19.39,18.12,0,783891.0,0.1555846999399364
puzzles/5x5\1683edd2-de25-4f37-ac85-1af356bcb6f6.singles,1683edd2-de25-4f37-ac85-1af356bcb6f6,7,0,3382749398,5,qf_bool,0,0,1403,702,0,0,19.39,18.12,0,914748.0,0.1537289000116288
puzzles/5x5\19f7dbcd-4a93-4887-bc3f-85b652cf53c5.singles,19f7dbcd-4a93-4887-bc3f-85b652cf53c5,7,0,102744383,5,qf_bool,0,0,1406,702,0,0,19.4,18.12,0,1046204.0,0.1542555999476462
puzzles/5x5\1a314a26-c26b-45ed-a627-137e24dd0d06.singles,1a314a26-c26b-45ed-a627-137e24dd0d06,7,0,1761076762,5,qf_bool,0,0,1408,702,0,0,19.4,18.1,0,1176382.0,0.1549458999652415
puzzles/5x5\1c16bec5-d676-44a8-80c5-17a9a91e21e8.singles,1c16bec5-d676-44a8-80c5-17a9a91e21e8,7,0,4184787380,5,qf_bool,0,0,1404,702,0,0,19.4,18.12,0,1304964.0,0.156462199985981
puzzles/5x5\1e054fc0-ad97-47ec-8564-e2ce56869e87.singles,1e054fc0-ad97-47ec-8564-e2ce56869e87,7,0,2054828817,5,qf_bool,0,0,1403,702,0,0,19.4,18.12,0,1435634.0,0.1565569000085815
puzzles/5x5\1e590cb4-910a-4b28-9e4f-20e70340263a.singles,1e590cb4-910a-4b28-9e4f-20e70340263a,6,0,4105919624,5,qf_bool,0,0,1405,702,0,0,19.4,18.1,0,1564784.0,0.1549979000119492
puzzles/5x5\1f3dd1e6-246f-413f-b404-f1942b2a9f34.singles,1f3dd1e6-246f-413f-b404-f1942b2a9f34,7,0,852406049,5,qf_bool,0,0,1405,702,0,0,19.4,18.19,0,1698048.0,0.1559382999548688
puzzles/5x5\1f4efad4-4383-4f34-b826-eb627742be12.singles,1f4efad4-4383-4f34-b826-eb627742be12,7,0,4055265762,5,qf_bool,0,0,1404,702,0,0,19.4,18.19,0,1831358.0,0.1563333999365568
puzzles/5x5\20189c13-3ac5-491d-9686-5de3673441bf.singles,20189c13-3ac5-491d-9686-5de3673441bf,7,0,3413070308,5,qf_bool,0,0,1404,702,0,0,19.4,18.12,0,1969677.0,0.1567826999817043
puzzles/5x5\21c11a77-c827-42e6-8de3-3f6e293019f3.singles,21c11a77-c827-42e6-8de3-3f6e293019f3,7,0,2555570312,5,qf_bool,0,0,1406,702,0,0,19.4,18.12,0,2100690.0,0.1580244000069797
puzzles/5x5\229565d9-4d0c-450e-ad7c-7f6b5b96ac14.singles,229565d9-4d0c-450e-ad7c-7f6b5b96ac14,7,0,688056669,5,qf_bool,0,0,1405,702,0,0,19.4,18.12,0,2228563.0,0.1570949999149888
puzzles/5x5\230d9c06-5a5b-4512-932e-ca1f369819d1.singles,230d9c06-5a5b-4512-932e-ca1f369819d1,7,0,2656581407,5,qf_bool,0,0,1404,702,0,0,19.4,18.12,0,2357216.0,0.1588473999872803
puzzles/5x5\242d8457-ebb9-4153-8760-a15a60c52b82.singles,242d8457-ebb9-4153-8760-a15a60c52b82,6,0,3622675384,5,qf_bool,0,0,1404,702,0,0,19.4,18.12,0,2487841.0,0.1544017000123858
puzzles/5x5\24379fab-9c40-4e2e-bd28-1a419d8e1e66.singles,24379fab-9c40-4e2e-bd28-1a419d8e1e66,7,0,1356546250,5,qf_bool,0,0,1407,702,0,0,19.4,18.12,0,2615594.0,0.1530649999622255
puzzles/5x5\24dd8880-d1df-462b-a3b6-9fe199ee764b.singles,24dd8880-d1df-462b-a3b6-9fe199ee764b,9,0,412254323,5,qf_bool,0,0,1408,702,0,0,19.4,18.12,0,2745664.0,0.1547753999475389
puzzles/5x5\2711ef2b-1efc-4bec-be45-c35fbed5477b.singles,2711ef2b-1efc-4bec-be45-c35fbed5477b,7,0,2251240213,5,qf_bool,0,0,1405,702,0,0,19.4,18.1,0,2878567.0,0.1540885999565944
puzzles/5x5\274c1fd1-84fb-4840-bdd3-b0e367a83266.singles,274c1fd1-84fb-4840-bdd3-b0e367a83266,7,0,3853545252,5,qf_bool,0,0,1406,702,0,0,19.4,18.19,0,3008419.0,0.1542375000426545
puzzles/5x5\29e66b59-6569-4a81-b7ea-90df9ada4518.singles,29e66b59-6569-4a81-b7ea-90df9ada4518,7,0,3552289398,5,qf_bool,0,0,1403,702,0,0,19.4,18.19,0,3140208.0,0.1554806999629363
puzzles/5x5\2ab686d6-7283-4074-ace4-8ca88fbaa79c.singles,2ab686d6-7283-4074-ace4-8ca88fbaa79c,6,0,2027502928,5,qf_bool,0,0,1403,702,0,0,19.4,18.19,0,3273788.0,0.1563818999566137
puzzles/5x5\2b4c7939-0663-432f-94ab-3c4122af01d5.singles,2b4c7939-0663-432f-94ab-3c4122af01d5,6,0,3854408525,5,qf_bool,0,0,1405,702,0,0,19.4,18.12,0,3403559.0,0.1564772999845445
puzzles/5x5\2ba48b6a-9ddf-4974-8d47-dce17369a219.singles,2ba48b6a-9ddf-4974-8d47-dce17369a219,7,0,1925101165,5,qf_bool,0,0,1404,702,0,0,19.4,18.12,0,3533556.0,0.1547951000975445
puzzles/5x5\32a0a17f-2c68-47b1-a0c6-33b02c85059d.singles,32a0a17f-2c68-47b1-a0c6-33b02c85059d,7,0,2965708813,5,qf_bool,0,0,1403,702,0,0,19.4,18.12,0,3668293.0,0.1543973999796435
