path,puzzle,puzzle_statistics.black_cells,run,seed,size,solver,statistics.conflicts,statistics.decisions,statistics.encoding_size.assertions,statistics.encoding_size.bool_vars,statistics.encoding_size.bv_vars,statistics.encoding_size.int_vars,statistics.max_memory,statistics.memory,statistics.propagations,statistics.rlimit_count,statistics.runtime
puzzles_rq3\00104fe7-5d55-49bd-937b-d43780c3c793.singles,00104fe7-5d55-49bd-937b-d43780c3c793,17,0,1642821048,8,qf_ia,4,46,400,64,0,66,19.25,18.27,765,94274,0.10615949996281415
puzzles_rq3\002a6c57-9daa-4c9c-b2cf-af922a19c8bb.singles,002a6c57-9daa-4c9c-b2cf-af922a19c8bb,19,0,2233304757,8,qf_ia,3,19,407,64,0,66,19.25,18.36,697,190062,0.08196480001788586
puzzles_rq3\005a65e0-b47c-40ac-adea-60af79546968.singles,005a65e0-b47c-40ac-adea-60af79546968,19,0,1816486384,8,qf_ia,6,17,401,64,0,66,19.25,18.38,1155,303268,0.07932420005090535
puzzles_rq3\005bd111-40fb-444f-9be1-bd9845cffc81.singles,005bd111-40fb-444f-9be1-bd9845cffc81,18,0,538277776,8,qf_ia,3,21,408,64,0,66,19.25,18.3,1128,387082,0.07599379995372146
puzzles_rq3\005ce84b-42d8-40c9-beb4-d2cfc38ce052.singles,005ce84b-42d8-40c9-beb4-d2cfc38ce052,18,0,2902230420,8,qf_ia,4,29,408,64,0,66,19.26,18.3,1100,478869,0.07817890006117523
puzzles_rq3\0063ca04-afcd-45c1-a738-6a7716fbdc8c.singles,0063ca04-afcd-45c1-a738-6a7716fbdc8c,18,0,1694304917,8,qf_ia,8,29,399,64,0,66,19.37,18.3,780,596158,0.0803555001039058
puzzles_rq3\00887bc9-bbad-4dd1-833b-6aa32235b64b.singles,00887bc9-bbad-4dd1-833b-6aa32235b64b,17,0,396740181,8,qf_ia,0,13,404,64,0,66,19.37,18.3,574,681732,0.07610359997488558
puzzles_rq3\009c0f42-df56-46e7-952e-47edcccdd59a.singles,009c0f42-df56-46e7-952e-47edcccdd59a,19,0,48157353,8,qf_ia,1,12,404,64,0,66,19.37,18.37,605,767646,0.07513339992146939
puzzles_rq3\00a0a589-b04a-4e9a-8630-e96bcb8844d6.singles,00a0a589-b04a-4e9a-8630-e96bcb8844d6,18,0,3677192192,8,qf_ia,31,73,407,64,0,66,19.45,18.41,2054,997804,0.07852680003270507
puzzles_rq3\00a6582b-3d3c-46f2-91ae-29d5a0cb7973.singles,00a6582b-3d3c-46f2-91ae-29d5a0cb7973,19,0,1753544093,8,qf_ia,2,12,401,64,0,66,19.45,18.33,684,1081317,0.07711870002094656
puzzles_rq3\00ab1ac2-832e-460d-9ebd-7d4c7802f18b.singles,00ab1ac2-832e-460d-9ebd-7d4c7802f18b,19,0,1957098453,8,qf_ia,3,20,407,64,0,66,19.45,18.39,691,1174419,0.07659439998678863
puzzles_rq3\00ab47f4-2866-4488-88be-8ad6a6b1d592.singles,00ab47f4-2866-4488-88be-8ad6a6b1d592,19,0,3132263859,8,qf_ia,3,18,407,64,0,66,19.45,18.33,776,1262332,0.07706729997880757
puzzles_rq3\00adbef9-6b92-40b4-937c-c4c55cc72661.singles,00adbef9-6b92-40b4-937c-c4c55cc72661,16,0,1138923429,8,qf_ia,3,22,400,64,0,66,19.45,18.39,652,1361293,0.07669360004365444
puzzles_rq3\00ce45ed-89f4-4c69-875d-2116ea4410c5.singles,00ce45ed-89f4-4c69-875d-2116ea4410c5,17,0,4070072660,8,qf_ia,3,41,404,64,0,66,19.45,18.39,810,1457294,0.0785722000291571
